,BK US Equity,BK US Equity,BK US Equity,BK US Equity,BK US Equity,BK US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,34.56,34.3,35.03,34.3,3469457.0,39692.9067
2014-01-03,34.96,34.61,35.34,34.5809,4000345.0,40152.3154
2014-01-06,34.95,35.28,35.66,34.88,6206862.0,40140.8301
2014-01-07,34.54,35.1,35.17,34.33,6967526.0,39669.9363
2014-01-08,34.66,34.64,34.84,34.31,4855021.0,39807.7589
2014-01-09,34.7,34.71,34.83,34.315,3673748.0,39853.6997
2014-01-10,34.23,34.67,34.73,34.05,4781979.0,39313.8946
2014-01-13,33.5,34.19,34.28,33.43,6130572.0,38475.4738
2014-01-14,33.82,33.65,33.86,33.5,5369710.0,38843.0007
2014-01-15,34.16,34.07,34.165,33.79,6029967.0,39233.4981
2014-01-16,33.92,34.14,34.18,33.8,6851314.0,38957.8529
2014-01-17,32.7,33.45,33.48,32.63,8532869.0,37556.6565
2014-01-21,33.09,32.99,33.12,32.75,7714804.0,38004.58
2014-01-22,33.41,33.07,33.44,33.03,6127157.0,38372.1069
2014-01-23,33.12,33.08,33.21,32.84,8123437.0,38039.0356
2014-01-24,32.34,32.71,33.0,32.305,7145116.0,36940.365
2014-01-27,32.04,32.34,32.5501,31.9,6479574.0,36597.69
2014-01-28,32.22,32.18,32.315,32.01,5983320.0,36803.295
2014-01-29,31.73,31.78,32.29,31.67,6445434.0,36243.5925
2014-01-30,32.41,32.05,32.59,32.04,4798070.0,37020.3225
2014-01-31,31.96,31.77,32.23,31.66,5236328.0,36506.31
2014-02-03,30.91,31.89,32.02,30.88,7764980.0,35306.9475
2014-02-04,31.19,31.17,31.35,30.94,8462292.0,35626.7775
2014-02-05,30.93,31.14,31.265,30.84,4187761.0,35329.7925
2014-02-06,31.47,31.01,31.49,30.96,3671715.0,35946.6075
2014-02-07,31.79,31.64,31.84,31.39,5292548.0,36312.1275
2014-02-10,31.51,31.75,31.77,31.34,4695231.0,35992.2975
2014-02-11,31.97,31.53,32.04,31.33,4739388.0,36517.7325
2014-02-12,31.98,32.04,32.27,31.82,2545092.0,36529.155
2014-02-13,31.98,31.74,32.01,31.68,3479674.0,36529.155
2014-02-14,31.79,31.91,32.02,31.71,4978852.0,36312.1275
2014-02-18,31.76,31.85,31.95,31.69,3527897.0,36277.86
2014-02-19,31.13,31.63,31.83,31.1035,4369587.0,35558.2425
2014-02-20,31.18,31.18,31.28,30.82,6169761.0,35615.355
2014-02-21,31.35,31.22,31.58,31.12,4638899.0,35809.5375
2014-02-24,31.8,31.13,31.98,31.13,4555386.0,36323.55
