,DVN US Equity,DVN US Equity,DVN US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,61.16,24830.96,2061600.0
2014-01-03,61.03,24778.18,1735556.0
2014-01-06,60.25,24461.5,2566422.0
2014-01-07,61.48,24960.88,3499660.0
2014-01-08,61.31,24891.86,3503762.0
2014-01-09,60.78,24676.68,2831453.0
2014-01-10,60.53,24575.18,2296904.0
2014-01-13,59.18,24027.08,3198772.0
2014-01-14,59.78,24270.68,2414382.0
2014-01-15,59.21,24039.26,3032792.0
2014-01-16,59.37,24104.22,3042150.0
2014-01-17,59.01,23958.06,3311997.0
2014-01-21,59.68,24230.08,2750908.0
2014-01-22,60.41,24526.46,3092742.0
2014-01-23,60.12,24408.72,2484479.0
2014-01-24,59.52,24165.12,3823785.0
2014-01-27,58.67,23820.02,3576159.0
2014-01-28,59.29,24071.74,2483435.0
2014-01-29,59.01,23958.06,3097642.0
2014-01-30,59.67,24226.02,4712022.0
2014-01-31,59.22,24043.32,3442144.0
2014-02-03,57.85,23487.1,4388693.0
2014-02-04,59.32,24083.92,4608803.0
2014-02-05,59.08,23986.48,3927610.0
2014-02-06,60.45,24542.7,3738308.0
2014-02-07,61.02,24774.12,3020933.0
2014-02-10,60.8,24684.8,2284646.0
2014-02-11,61.54,24985.24,2033453.0
2014-02-12,61.18,24839.08,2341868.0
2014-02-13,62.27,25281.62,3316279.0
2014-02-14,62.05,25192.3,2318562.0
2014-02-18,62.91,25541.46,5137014.0
2014-02-19,64.25,26085.5,9710989.0
2014-02-20,64.56,26211.36,3788188.0
2014-02-21,63.67,25850.02,4596629.0
2014-02-24,64.37,26134.22,3368476.0
2014-02-25,63.91,25947.46,3765449.0
2014-02-26,63.73,25874.38,3244520.0
2014-02-27,64.31,26109.86,3066489.0
2014-02-28,64.42,26154.52,2457261.0
2014-03-03,63.78,25983.9716,3815535.0
2014-03-04,64.64,26334.3356,3990299.0
2014-03-05,64.47,26265.0776,2749667.0
2014-03-06,64.52,26285.4476,1684744.0
2014-03-07,65.13,26533.9616,2935738.0
2014-03-10,64.53,26289.5216,3192162.0
2014-03-11,63.55,25890.2696,2331425.0
2014-03-12,63.08,25698.7916,2251875.0
2014-03-13,62.59,25499.1656,2182942.0
2014-03-14,62.74,25560.2756,3086092.0
2014-03-17,62.8,25584.7196,2178930.0
2014-03-18,63.49,25865.8256,2154779.0
2014-03-19,63.46,25853.6036,2667865.0
2014-03-20,63.29,25784.3456,2870351.0
2014-03-21,64.09,26110.2656,3314000.0
