,CMG US Equity,CMG US Equity,CMG US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,10.469,16197.2277,22824550.0
2014-01-03,10.626,16441.0696,20455850.0
2014-01-06,10.546,16317.6014,20754600.0
2014-01-07,10.661,16495.2223,15446500.0
2014-01-08,10.717,16581.5572,20564800.0
2014-01-09,10.821,16741.8492,26490400.0
2014-01-10,10.771,16665.7259,18961450.0
2014-01-13,10.596,16394.3435,25517950.0
2014-01-14,10.606,16409.1968,18658250.0
2014-01-15,10.645,16470.1573,12148400.0
2014-01-16,10.59,16385.3697,13019350.0
2014-01-17,10.552,16326.5753,20185600.0
2014-01-21,10.511,16263.4487,19327600.0
2014-01-22,10.319,15965.7636,31163700.0
2014-01-23,10.069,15578.9586,53142050.0
2014-01-24,9.85,15239.4985,44673600.0
2014-01-27,9.786,15141.4047,28162750.0
2014-01-28,9.837,15220.6224,19901350.0
2014-01-29,9.69,14992.5622,32888450.0
2014-01-30,9.879,15285.2962,64118100.0
2014-01-31,11.039,17080.0715,106763800.0
2014-02-03,10.864,16808.9985,53564050.0
2014-02-04,10.812,16728.2336,27842750.0
2014-02-05,10.849,16828.4395,24920500.0
2014-02-06,10.889,16891.7288,22473800.0
2014-02-07,10.986,17041.2652,24791100.0
2014-02-10,10.962,17004.0362,17216400.0
2014-02-11,10.897,16903.8282,20550250.0
2014-02-12,10.915,16931.1295,24262450.0
2014-02-13,11.153,17300.6273,26648400.0
2014-02-14,11.082,17190.8017,16498900.0
2014-02-18,11.057,17152.0215,15185000.0
2014-02-19,11.044,17130.9251,20875900.0
2014-02-20,11.006,17071.9792,15289750.0
2014-02-21,10.99,17047.4701,20421650.0
2014-02-24,11.088,17199.1783,13977550.0
2014-02-25,11.092,17206.6241,16830400.0
2014-02-26,11.102,17222.1361,27547000.0
2014-02-27,11.223,17408.9016,15289100.0
2014-02-28,11.304,17535.17,33828400.0
2014-03-03,11.092,17206.0036,26383950.0
2014-03-04,11.697,18143.8642,50207400.0
2014-03-05,11.625,18032.7977,27740450.0
2014-03-06,11.865,18405.7082,31801250.0
2014-03-07,11.868,18410.0515,15404900.0
2014-03-10,11.759,18240.9698,18107200.0
2014-03-11,11.685,18126.4906,15173000.0
2014-03-12,11.774,18263.9277,12244150.0
2014-03-13,11.59,17978.5054,15617100.0
2014-03-14,11.519,17868.6798,16700800.0
2014-03-17,11.525,17877.9871,13086550.0
2014-03-18,11.851,18383.0605,30126700.0
2014-03-19,11.93,18505.9162,22134750.0
2014-03-20,12.232,18973.7607,40336200.0
2014-03-21,12.222,18959.4896,38944750.0
2014-03-24,11.771,18258.9638,41016900.0
2014-03-25,11.414,17704.8722,48995550.0
2014-03-26,11.278,17493.9079,29137950.0
2014-03-27,11.184,17384.4509,27812800.0
2014-03-28,11.343,17632.8535,26922250.0
2014-03-31,11.361,17660.2119,22101900.0
2014-04-01,11.579,17999.7059,15676400.0
2014-04-02,11.524,17913.8997,14858150.0
2014-04-03,11.418,17748.5052,20551750.0
2014-04-04,11.103,17259.4723,34355900.0
2014-04-07,10.712,16651.057,40242550.0
2014-04-08,11.015,17121.7472,28993150.0
2014-04-09,11.128,17298.0229,20521400.0
2014-04-10,10.68,16601.9361,30034000.0
2014-04-11,10.697,16628.6728,49428300.0
2014-04-14,10.82,16818.6277,22100250.0
2014-04-15,10.811,16804.9484,24396250.0
2014-04-16,11.048,17173.6662,31739200.0
2014-04-17,10.392,16151.0437,194214500.0
2014-04-21,10.131,15744.7887,68727750.0
2014-04-22,10.253,15935.3276,45698700.0
2014-04-23,10.081,15667.392,24180550.0
2014-04-24,10.152,15777.7367,26536950.0
2014-04-25,10.046,15613.3076,20207100.0
2014-04-28,9.526,14804.2168,71799550.0
2014-04-29,9.831,15279.476,37348450.0
2014-04-30,9.97,15494.8813,33275650.0
2014-05-01,10.003,15546.1683,23139300.0
2014-05-02,10.035,15596.5227,23589000.0
2014-05-05,10.254,15935.6384,30923850.0
2014-05-06,10.038,15600.8744,21811000.0
2014-05-07,10.017,15567.3047,28592200.0
2014-05-08,10.007,15552.3849,18526850.0
2014-05-09,10.154,15780.2233,22343400.0
2014-05-12,10.204,15858.8634,21540150.0
2014-05-13,10.083,15670.8111,14623100.0
2014-05-14,10.086,15675.7844,24589850.0
2014-05-15,9.918,15414.6871,25274200.0
2014-05-16,10.01,15557.669,29518250.0
2014-05-19,10.026,15581.6029,13550050.0
2014-05-20,9.913,15406.2947,15797350.0
2014-05-21,10.084,15671.4328,22246050.0
2014-05-22,10.41,16178.0859,29754050.0
2014-05-23,10.446,16235.2786,15560450.0
2014-05-27,10.721,16661.7376,28304650.0
2014-05-28,10.765,16730.7418,27405450.0
2014-05-29,10.908,16953.2962,30895350.0
2014-05-30,10.942,17005.2048,22707050.0
2014-06-02,11.031,17144.1459,19975500.0
2014-06-03,11.012,17113.9954,17886500.0
2014-06-04,11.177,17370.4302,18836250.0
2014-06-05,11.221,17438.502,17286600.0
2014-06-06,11.383,17691.5177,19752600.0
2014-06-09,11.37,17670.6921,12342200.0
2014-06-10,11.295,17554.4416,14145650.0
2014-06-11,11.407,17727.8849,16279600.0
2014-06-12,11.637,18085.6503,45813750.0
2014-06-13,11.765,18284.8924,29349650.0
2014-06-16,11.88,18463.6197,22580450.0
2014-06-17,11.87,18448.3891,16114850.0
2014-06-18,11.898,18491.5944,16133700.0
2014-06-19,11.891,18480.0937,17961150.0
2014-06-20,11.849,18414.5086,20612150.0
2014-06-23,11.992,18637.0629,18526400.0
2014-06-24,11.912,18513.6634,18256650.0
2014-06-25,11.99,18634.2655,11235850.0
2014-06-26,12.006,18659.7535,11595950.0
2014-06-27,11.923,18529.8266,15719050.0
2014-06-30,11.85,18416.9952,15573000.0
2014-07-01,12.065,18751.1376,15611600.0
2014-07-02,11.986,18628.6705,12003650.0
2014-07-03,12.072,18761.7058,7031350.0
2014-07-07,11.877,18458.0248,14934150.0
2014-07-08,11.732,18232.9838,26045050.0
2014-07-09,12.083,18779.4231,29851300.0
2014-07-10,12.012,18668.7676,21288400.0
2014-07-11,11.97,18602.8716,11230100.0
2014-07-14,12.098,18802.7354,16275100.0
2014-07-15,11.949,18570.5453,27936450.0
2014-07-16,11.809,18353.5859,19358050.0
2014-07-17,11.633,18079.4337,20780000.0
2014-07-18,11.848,18414.1977,21630550.0
2014-07-21,11.799,18336.801,54981500.0
2014-07-22,13.195,20463.1764,113077250.0
2014-07-23,13.225,20509.6998,27741300.0
2014-07-24,13.204,20476.5131,18708800.0
2014-07-25,13.472,20891.5021,29798900.0
2014-07-28,13.56,21028.9013,23534600.0
2014-07-29,13.487,20915.6943,14125400.0
2014-07-30,13.637,21147.381,20217200.0
2014-07-31,13.45,20858.0052,23130750.0
2014-08-01,13.503,20939.8865,17084300.0
2014-08-04,13.66,21183.049,22302300.0
2014-08-05,13.494,20926.5498,16723900.0
2014-08-06,13.46,20873.5131,18739300.0
2014-08-07,13.437,20837.5349,14491700.0
2014-08-08,13.394,20771.1615,17709550.0
2014-08-11,13.611,21107.3708,17773250.0
2014-08-12,13.525,20973.6935,11295600.0
2014-08-13,13.674,21204.7599,19373850.0
2014-08-14,13.586,21068.6013,15200900.0
2014-08-15,13.564,21034.174,16589850.0
2014-08-18,13.697,21240.4279,10056900.0
2014-08-19,13.622,21124.1193,11584900.0
2014-08-20,13.568,21041.3076,15292700.0
2014-08-21,13.621,21123.8091,35806950.0
2014-08-22,13.539,20996.0248,18021100.0
2014-08-25,13.525,20974.0037,10691100.0
2014-08-26,13.678,21211.2732,14496500.0
2014-08-27,13.541,20998.506,12993100.0
2014-08-28,13.557,21023.6287,7649350.0
2014-08-29,13.573,21048.7513,9040300.0
2014-09-02,13.658,21180.5677,11644650.0
2014-09-03,13.602,21093.724,15346100.0
2014-09-04,13.611,21107.3708,13529850.0
2014-09-05,13.559,21027.0404,11997900.0
2014-09-08,13.567,21040.0669,10281500.0
2014-09-09,13.399,20778.9154,14138000.0
2014-09-10,13.427,20822.6474,18329850.0
2014-09-11,13.455,20865.1388,15872350.0
2014-09-12,13.296,20619.4951,15151550.0
2014-09-15,13.117,20341.5952,25950700.0
2014-09-16,13.084,20290.4194,24338950.0
2014-09-17,13.065,20260.6444,26512350.0
2014-09-18,13.286,20604.2975,16995050.0
2014-09-19,13.282,20597.1639,19761050.0
2014-09-22,13.122,20349.3491,14276400.0
2014-09-23,13.092,20302.2053,8226850.0
2014-09-24,13.294,20616.3936,13354000.0
2014-09-25,13.068,20265.2967,13846000.0
2014-09-26,13.215,20494.192,12676650.0
2014-09-29,13.259,20561.4959,12041150.0
2014-09-30,13.332,20674.7029,23026900.0
2014-10-01,13.245,20539.4748,19360850.0
2014-10-02,13.251,20550.0201,15321500.0
2014-10-03,13.49,20920.0365,20196600.0
2014-10-06,13.423,20815.5138,18972250.0
2014-10-07,13.256,20557.774,17415800.0
2014-10-08,13.442,20845.599,18103600.0
2014-10-09,13.212,20489.2295,19626700.0
2014-10-10,13.112,20333.2209,31298050.0
2014-10-13,12.791,19835.4202,24088500.0
2014-10-14,13.023,20196.442,26725700.0
2014-10-15,12.948,20078.8928,30726650.0
