,ON US Equity,ON US Equity,ON US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,8.01,3559.8659,11104645.0
2014-01-03,8.05,3577.643,4825688.0
2014-01-06,8.03,3568.7545,3523009.0
2014-01-07,8.095,3597.6423,11341101.0
2014-01-08,8.54,3795.4126,18823970.0
2014-01-09,8.48,3768.7469,6067956.0
2014-01-10,8.61,3826.5225,7814130.0
2014-01-13,8.64,3839.8554,9220053.0
2014-01-14,8.795,3908.7417,14206486.0
2014-01-15,8.86,3937.6295,7294352.0
2014-01-16,8.86,3937.6295,4993218.0
2014-01-17,8.79,3906.5195,4588106.0
2014-01-21,8.83,3924.2966,3728690.0
2014-01-22,8.85,3933.1852,8658067.0
2014-01-23,8.71,3870.9653,7085151.0
2014-01-24,8.42,3742.0813,7528208.0
2014-01-27,8.41,3737.637,5663178.0
2014-01-28,8.45,3755.4141,4155712.0
2014-01-29,8.41,3737.637,5950988.0
2014-01-30,8.55,3799.8569,3446730.0
2014-01-31,8.36,3715.4156,5289778.0
2014-02-03,8.07,3586.5316,4940284.0
2014-02-04,8.21,3648.7514,4825710.0
2014-02-05,8.11,3604.3087,2621276.0
2014-02-06,8.32,3697.6385,8878862.0
2014-02-07,9.035,4015.4043,29480927.0
2014-02-10,8.88,3946.518,9198927.0
2014-02-11,8.97,3986.5165,9451731.0
2014-02-12,8.94,3973.1837,7213519.0
2014-02-13,9.28,4124.2891,9759249.0
2014-02-14,9.42,4186.509,7216707.0
2014-02-18,9.45,4199.8418,7557697.0
2014-02-19,9.46,4204.2861,7211537.0
2014-02-20,9.47,4208.7304,6590115.0
2014-02-21,9.38,4131.1575,8447860.0
2014-02-24,9.42,4148.7743,4503070.0
2014-02-25,9.31,4100.3279,4958641.0
2014-02-26,9.44,4157.5828,3624371.0
2014-02-27,9.3,4095.9237,4523164.0
2014-02-28,9.34,4113.5406,5496951.0
2014-03-03,9.35,4117.9448,3577081.0
2014-03-04,9.6,4228.0503,4207853.0
2014-03-05,9.64,4245.6672,4537657.0
2014-03-06,9.7,4272.0925,5078867.0
2014-03-07,9.68,4263.284,5282411.0
2014-03-10,9.53,4197.2208,5893515.0
2014-03-11,9.4,4139.9659,4988930.0
2014-03-12,9.41,4144.3701,5840431.0
2014-03-13,9.2,4051.8815,3645272.0
2014-03-14,9.18,4043.0731,4391986.0
2014-03-17,9.26,4078.3068,4054467.0
2014-03-18,9.45,4161.987,5188035.0
2014-03-19,9.53,4197.2208,5360710.0
2014-03-20,9.45,4161.987,11730155.0
2014-03-21,9.36,4122.349,7116315.0
2014-03-24,9.39,4135.5617,13407233.0
2014-03-25,9.27,4082.7111,8484242.0
2014-03-26,9.15,4029.8604,5469685.0
2014-03-27,9.11,4012.2436,5852827.0
2014-03-28,9.19,4047.4773,4044411.0
2014-03-31,9.4,4139.9659,5629550.0
2014-04-01,9.45,4161.987,9476827.0
2014-04-02,9.5,4184.0081,12677858.0
2014-04-03,9.75,4294.1136,20924627.0
2014-04-04,9.51,4188.4123,15322581.0
2014-04-07,9.58,4219.2419,7682516.0
2014-04-08,9.89,4355.7726,10444035.0
2014-04-09,10.0,4404.2191,7183095.0
2014-04-10,9.69,4267.6883,9780493.0
2014-04-11,9.58,4221.4021,6731627.0
2014-04-14,9.56,4212.5891,4942832.0
2014-04-15,9.71,4278.6863,5374131.0
2014-04-16,9.51,4190.5568,10563805.0
2014-04-17,9.56,4212.5891,7734008.0
2014-04-21,9.57,4216.9956,3679357.0
2014-04-22,9.7,4274.2798,5493733.0
2014-04-23,9.73,4287.4992,3988234.0
2014-04-24,9.77,4305.1251,2864503.0
2014-04-25,9.45,4164.1179,7941925.0
2014-04-28,9.27,4084.8014,4959478.0
2014-04-29,9.38,4133.2726,3557718.0
2014-04-30,9.41,4146.492,5740569.0
2014-05-01,9.38,4133.2726,7919060.0
2014-05-02,8.88,3915.9865,23854607.0
2014-05-05,9.0,3968.9052,6579229.0
2014-05-06,8.95,3946.8558,6764522.0
2014-05-07,8.925,3935.831,6301388.0
2014-05-08,8.85,3902.7568,11658311.0
2014-05-09,8.7,3836.6084,11017798.0
2014-05-12,8.78,3871.8876,12612918.0
2014-05-13,8.71,3841.0183,9717860.0
2014-05-14,8.54,3766.0501,9652802.0
2014-05-15,8.43,3717.5412,10265710.0
2014-05-16,8.45,3726.361,6255636.0
2014-05-19,8.57,3779.2798,5080726.0
2014-05-20,8.42,3713.1313,6930096.0
2014-05-21,8.45,3726.361,4751440.0
2014-05-22,8.51,3752.8204,6847223.0
2014-05-23,8.54,3766.0501,7245138.0
2014-05-27,8.73,3849.8381,7339793.0
2014-05-28,8.69,3832.1985,6197663.0
2014-05-29,8.7,3836.6084,6493471.0
2014-05-30,8.69,3832.1985,3938261.0
2014-06-02,8.66,3818.9688,4597664.0
2014-06-03,8.81,3885.1172,5375884.0
2014-06-04,8.96,3951.2657,6661219.0
2014-06-05,8.95,3946.8558,4831695.0
2014-06-06,8.92,3933.6261,2963149.0
2014-06-09,8.98,3960.0855,4917980.0
2014-06-10,9.06,3995.3646,14135744.0
2014-06-11,9.06,3995.3646,6830430.0
2014-06-12,8.97,3955.6756,5479492.0
2014-06-13,9.14,4030.6438,6579096.0
2014-06-16,8.98,3960.0855,5519259.0
2014-06-17,9.18,4048.2833,8364610.0
2014-06-18,9.05,3990.9547,6696713.0
2014-06-19,9.08,4004.1844,4669966.0
2014-06-20,9.13,4026.2339,4819603.0
2014-06-23,9.14,4030.6438,4678805.0
2014-06-24,8.95,3946.8558,8323252.0
2014-06-25,9.065,3997.5696,6392648.0
2014-06-26,9.01,3973.3151,6604389.0
2014-06-27,9.09,4008.5943,7131059.0
2014-06-30,9.14,4030.6438,3453027.0
2014-07-01,9.27,4087.9724,7006699.0
2014-07-02,9.32,4110.0219,4633364.0
2014-07-03,9.38,4136.4812,3261968.0
2014-07-07,9.25,4079.1526,4329724.0
2014-07-08,9.19,4052.6932,7131088.0
2014-07-09,9.13,4026.2339,4053421.0
2014-07-10,9.11,4017.4141,3044363.0
2014-07-11,9.12,4021.824,4070965.0
2014-07-14,9.05,3990.9547,3956643.0
2014-07-15,9.11,4017.4141,3840780.0
2014-07-16,9.27,4087.9724,9309607.0
2014-07-17,9.04,3986.5448,6455000.0
2014-07-18,9.34,4118.8417,6973395.0
2014-07-21,9.44,4162.9406,6592311.0
2014-07-22,9.645,4253.3435,8800608.0
2014-07-23,9.09,4008.5943,15186800.0
2014-07-24,9.085,4006.3893,8332327.0
2014-07-25,8.66,3818.9688,9838441.0
2014-07-28,8.8,3880.7073,6948023.0
2014-07-29,8.69,3832.1985,4338790.0
2014-07-30,8.81,3885.1172,4779340.0
2014-07-31,8.56,3774.8699,7208948.0
2014-08-01,8.79,3877.5089,9765973.0
2014-08-04,8.53,3762.8158,7222945.0
2014-08-05,8.64,3811.3398,6692583.0
2014-08-06,8.67,3824.5736,4173361.0
2014-08-07,8.34,3679.0016,6619016.0
2014-08-08,8.46,3731.9369,6033644.0
2014-08-11,8.58,3784.8721,2777027.0
