,BSX US Equity,BSX US Equity,BSX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,11.91,15902.4873,7971602.0
2014-01-03,11.93,15929.1917,7278892.0
2014-01-06,12.33,16463.2803,14817898.0
2014-01-07,12.44,16610.1547,8661269.0
2014-01-08,12.79,17077.4822,14313744.0
2014-01-09,12.78,17064.1299,10029340.0
2014-01-10,13.11,17504.753,14995374.0
2014-01-13,12.92,17251.0609,9197256.0
2014-01-14,13.18,17598.2185,8036162.0
2014-01-15,13.34,17811.854,14748177.0
2014-01-16,13.55,18092.2505,20084875.0
2014-01-17,13.51,18038.8416,11157044.0
2014-01-21,13.98,18666.3957,20088072.0
2014-01-22,13.87,18519.5213,11150753.0
2014-01-23,13.65,18225.7726,12428146.0
2014-01-24,13.34,17811.854,10556561.0
2014-01-27,13.21,17638.2752,10145796.0
2014-01-28,13.28,17731.7407,7322502.0
2014-01-29,13.18,17598.2185,8557749.0
2014-01-30,13.56,18105.6027,11052836.0
2014-01-31,13.53,18065.546,14001031.0
2014-02-03,13.01,17371.2309,18772368.0
2014-02-04,12.85,17157.5954,29030072.0
2014-02-05,12.76,17037.4255,22161669.0
2014-02-06,12.83,17130.891,13854960.0
2014-02-07,13.1,17491.4008,15209542.0
2014-02-10,12.91,17237.7087,11968957.0
2014-02-11,12.85,17157.5954,18535591.0
2014-02-12,12.96,17304.4698,9368145.0
2014-02-13,13.03,17397.9353,10309839.0
2014-02-14,13.3,17758.4451,14856356.0
2014-02-18,13.38,17865.2628,10683009.0
2014-02-19,13.06,17437.9919,11678972.0
2014-02-20,13.23,17664.9796,7949121.0
2014-02-21,13.14,17544.8097,6452101.0
2014-02-24,13.08,17464.6964,6551683.0
2014-02-25,13.39,17878.615,15637019.0
2014-02-26,13.34,17664.7313,7316824.0
2014-02-27,13.3,17611.7636,8489797.0
2014-02-28,13.1,17346.925,10209066.0
2014-03-03,13.0,17214.5057,9447291.0
2014-03-04,13.23,17519.0701,13015236.0
2014-03-05,13.38,17717.699,9877387.0
2014-03-06,13.55,17942.8117,9379753.0
2014-03-07,13.7,18141.4407,16277896.0
2014-03-10,13.46,17823.6344,8147866.0
2014-03-11,13.18,17452.8604,10731249.0
2014-03-12,12.88,17055.6026,20050835.0
2014-03-13,12.74,16870.2156,23579816.0
2014-03-14,13.01,17227.7477,19886332.0
2014-03-17,12.98,17188.0219,9973769.0
2014-03-18,13.21,17492.5862,6499447.0
2014-03-19,13.15,17413.1346,8716568.0
2014-03-20,13.1,17346.925,7486964.0
2014-03-21,12.82,16976.151,15490846.0
2014-03-24,12.84,17002.6349,11359238.0
2014-03-25,13.26,17549.2231,13779251.0
2014-03-26,13.23,17509.519,10501885.0
2014-03-27,13.21,17483.0496,11154810.0
2014-03-28,13.2,17469.8149,6161622.0
2014-03-31,13.52,17893.3256,8554218.0
2014-04-01,13.62,18025.6726,6763744.0
2014-04-02,13.69,18118.3156,6616478.0
2014-04-03,13.77,18224.1933,9393478.0
2014-04-04,13.5,17866.8561,12360984.0
2014-04-07,13.22,17496.2843,8826939.0
2014-04-08,12.91,17086.0084,10182463.0
2014-04-09,13.54,17919.795,15143201.0
2014-04-10,12.93,17112.4778,11189217.0
2014-04-11,12.69,16794.8448,25143148.0
2014-04-14,13.31,17615.3967,16741597.0
2014-04-15,13.35,17668.3355,13633183.0
2014-04-16,13.5,17866.8561,9740700.0
2014-04-17,13.65,18065.3768,8675932.0
2014-04-21,13.72,18158.0197,9735404.0
2014-04-22,13.75,18197.7238,8953033.0
2014-04-23,13.69,18118.3156,9002742.0
2014-04-24,13.75,18197.7238,8433479.0
2014-04-25,13.38,17708.0396,10712204.0
2014-04-28,13.58,17972.7338,14544552.0
2014-04-29,12.73,16847.7836,35508150.0
2014-04-30,12.61,16688.9671,27599007.0
2014-05-01,12.6,16675.7324,14400526.0
2014-05-02,12.81,16953.6613,17337614.0
2014-05-05,13.07,17297.7637,14657185.0
2014-05-06,12.95,17138.9472,11597504.0
2014-05-07,12.77,16900.7224,9748590.0
2014-05-08,12.8,16930.2484,7199089.0
2014-05-09,12.73,16837.6611,12957848.0
2014-05-12,12.93,17102.1963,9417041.0
2014-05-13,12.8,16930.2484,8806647.0
2014-05-14,12.79,16917.0217,12606188.0
2014-05-15,12.69,16784.7541,12954774.0
2014-05-16,12.8,16930.2484,10994048.0
2014-05-19,12.83,16969.9287,9444739.0
2014-05-20,12.62,16692.1668,11616662.0
2014-05-21,12.8,16930.2484,6774229.0
2014-05-22,12.68,16771.5274,14167930.0
2014-05-23,12.83,16969.9287,8081602.0
2014-05-27,12.95,17128.6498,8627895.0
2014-05-28,13.15,17393.1849,11589107.0
