Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,53.55,24357.1345,1909106.0,ALL
2014-01-03,53.33,24257.0678,1570245.0,ALL
2014-01-06,53.12,24161.5496,2695962.0,ALL
2014-01-07,53.35,24266.1648,1882573.0,ALL
2014-01-08,53.52,24343.489,3075402.0,ALL
2014-01-09,53.83,24484.492,1991611.0,ALL
2014-01-10,54.09,24602.7526,2421917.0,ALL
2014-01-13,53.46,24316.1981,2964283.0,ALL
2014-01-14,53.99,24557.2678,2132794.0,ALL
2014-01-15,53.89,24511.783,2235657.0,ALL
2014-01-16,53.18,24188.8406,3703775.0,ALL
2014-01-17,52.9,24061.483,1847913.0,ALL
2014-01-21,52.68,23961.4163,2973862.0,ALL
2014-01-22,52.41,23838.6072,3169804.0,ALL
2014-01-23,51.64,23488.3739,2879565.0,ALL
2014-01-24,50.62,23024.4285,3365446.0,ALL
2014-01-27,50.7,23060.8164,4154210.0,ALL
2014-01-28,51.77,23547.5042,3156028.0,ALL
2014-01-29,51.74,23533.8588,3602032.0,ALL
2014-01-30,52.3,23788.5739,1801689.0,ALL
2014-01-31,51.2,23288.2406,3876979.0,ALL
2014-02-03,49.96,22724.2285,3147416.0,ALL
2014-02-04,49.9,22696.9376,3540425.0,ALL
2014-02-05,49.55,22537.7407,3799499.0,ALL
2014-02-06,52.36,23815.8648,6487386.0,ALL
2014-02-07,52.76,23689.24,4169877.0,ALL
2014-02-10,52.09,23388.41,4023481.0,ALL
2014-02-11,52.81,23711.69,3150465.0,ALL
2014-02-12,52.53,23585.97,3991580.0,ALL
2014-02-13,52.7,23662.3,1671312.0,ALL
2014-02-14,52.96,23779.04,2195590.0,ALL
2014-02-18,52.18,23428.82,3507151.0,ALL
2014-02-19,51.79,23253.71,3506517.0,ALL
2014-02-20,53.47,23906.408,4347792.0,ALL
2014-02-21,53.86,24080.7767,3665707.0,ALL
2014-02-24,53.86,24080.7767,3995921.0,ALL
2014-02-25,53.65,23986.8859,2714639.0,ALL
2014-02-26,53.85,24076.3057,2025700.0,ALL
2014-02-27,54.23,24246.2035,2373188.0,ALL
2014-02-28,54.26,24259.6165,3521555.0,ALL
2014-03-03,54.05,24165.7256,3281555.0,ALL
2014-03-04,54.85,24523.4052,3531375.0,ALL
2014-03-05,55.07,24621.7671,2218934.0,ALL
2014-03-06,55.17,24666.477,2414658.0,ALL
2014-03-07,55.71,24907.9107,2471954.0,ALL
2014-03-10,55.8,24948.1497,1956915.0,ALL
2014-03-11,55.61,24863.2008,2361901.0,ALL
2014-03-12,55.49,24809.5489,2210355.0,ALL
2014-03-13,55.11,24639.6511,2762507.0,ALL
2014-03-14,55.13,24648.5931,2695252.0,ALL
2014-03-17,55.52,24822.9618,1337954.0,ALL
2014-03-18,55.47,24800.6069,2038261.0,ALL
2014-03-19,55.31,24729.071,3238838.0,ALL
2014-03-20,55.56,24840.8458,2539198.0,ALL
2014-03-21,56.06,25064.3955,3903221.0,ALL
2014-03-24,56.18,25118.0475,2366198.0,ALL
2014-03-25,56.0,25037.5696,3152125.0,ALL
2014-03-26,55.7,24903.4397,1991866.0,ALL
2014-03-27,55.64,24876.6138,1925649.0,ALL
2014-03-28,55.8,24948.1497,1467987.0,ALL
2014-03-31,56.58,25296.8873,2123524.0,ALL
2014-04-01,56.49,25256.6483,2229032.0,ALL
2014-04-02,56.15,25104.6345,2328532.0,ALL
2014-04-03,56.59,25301.3583,2207721.0,ALL
2014-04-04,56.41,25220.8804,2615797.0,ALL
2014-04-07,55.75,24876.2376,2625067.0,ALL
2014-04-08,55.89,24938.7071,2100987.0,ALL
2014-04-09,56.13,25045.7977,2186661.0,ALL
2014-04-10,55.51,24769.1471,3705588.0,ALL
2014-04-11,55.29,24670.9808,2678287.0,ALL
2014-04-14,55.2,24630.8219,3510594.0,ALL
2014-04-15,55.56,24791.4576,3503002.0,ALL
2014-04-16,55.99,24983.3282,2705534.0,ALL
2014-04-17,55.77,24885.1619,3150446.0,ALL
2014-04-21,55.77,24885.1619,2083951.0,ALL
2014-04-22,56.02,24996.7145,1983032.0,ALL
2014-04-23,56.19,25072.5703,1663493.0,ALL
2014-04-24,56.4,25166.2745,1885643.0,ALL
2014-04-25,56.11,25036.8734,2208387.0,ALL
2014-04-28,56.84,25362.6071,3271450.0,ALL
2014-04-29,56.89,25384.9177,1820033.0,ALL
2014-04-30,56.95,25411.6903,2438926.0,ALL
2014-05-01,57.29,25563.4019,2177538.0,ALL
2014-05-02,57.18,25514.3187,1898461.0,ALL
2014-05-05,57.12,25487.5461,1548586.0,ALL
2014-05-06,56.57,24550.8793,2982867.0,ALL
2014-05-07,57.82,25093.3683,3056490.0,ALL
2014-05-08,57.98,25162.8069,3403404.0,ALL
2014-05-09,58.13,25227.9055,2561538.0,ALL
2014-05-12,58.35,25323.3836,1800318.0,ALL
2014-05-13,58.4,25345.0832,2153343.0,ALL
2014-05-14,58.09,25210.5459,2775552.0,ALL
2014-05-15,57.56,24980.5306,3390696.0,ALL
2014-05-16,57.74,25058.649,3971050.0,ALL
2014-05-19,58.2,25258.2849,2085479.0,ALL
2014-05-20,58.08,25206.206,2255688.0,ALL
2014-05-21,58.42,25353.763,1520442.0,ALL
2014-05-22,58.35,25323.3836,1797966.0,ALL
2014-05-23,58.38,25336.4033,1418683.0,ALL
2014-05-27,58.46,25371.1226,1575601.0,ALL
2014-05-28,58.18,25249.6051,1738918.0,ALL
2014-05-29,58.3,25301.684,1240158.0,ALL
2014-05-30,58.26,25284.3244,3303893.0,ALL
2014-06-02,58.67,25462.2608,1585874.0,ALL
2014-06-03,58.58,25423.2016,1767123.0,ALL
2014-06-04,58.62,25440.5612,1678566.0,ALL
2014-06-05,59.11,25653.2169,2443715.0,ALL
2014-06-06,59.32,25744.355,1459071.0,ALL
2014-06-09,59.16,25674.9164,1516661.0,ALL
2014-06-10,59.18,25683.5963,1867003.0,ALL
2014-06-11,59.08,25640.1971,1597587.0,ALL
2014-06-12,58.71,25479.6204,2087714.0,ALL
2014-06-13,59.01,25609.8178,1700050.0,ALL
2014-06-16,58.81,25523.0195,1672390.0,ALL
2014-06-17,59.21,25696.616,1919450.0,ALL
2014-06-18,59.16,25674.9164,2970629.0,ALL
2014-06-19,58.82,25527.3594,3662789.0,ALL
2014-06-20,58.82,25527.3594,5046813.0,ALL
2014-06-23,59.2,25692.2761,2701539.0,ALL
2014-06-24,58.92,25570.7586,1959472.0,ALL
2014-06-25,58.71,25479.6204,1903847.0,ALL
2014-06-26,58.55,25410.1818,1734413.0,ALL
2014-06-27,58.69,25470.9406,2193559.0,ALL
2014-06-30,58.72,25483.9603,1800749.0,ALL
2014-07-01,59.12,25657.5568,1789778.0,ALL
2014-07-02,59.0,25605.4778,1590242.0,ALL
2014-07-03,58.97,25592.4581,1530191.0,ALL
2014-07-07,58.53,25401.502,2763588.0,ALL
2014-07-08,58.48,25379.8024,2882019.0,ALL
2014-07-09,58.48,25379.8024,2808678.0,ALL
2014-07-10,58.07,25201.8661,2701858.0,ALL
2014-07-11,58.2,25258.2849,1422767.0,ALL
2014-07-14,58.28,25293.0042,2224550.0,ALL
2014-07-15,58.46,25371.1226,2049062.0,ALL
2014-07-16,58.16,25240.9253,1901731.0,ALL
2014-07-17,57.82,25093.3683,1970410.0,ALL
2014-07-18,58.06,25197.5262,2016101.0,ALL
2014-07-21,58.01,25175.8266,1493868.0,ALL
2014-07-22,58.09,25210.5459,1881887.0,ALL
2014-07-23,58.33,25314.7038,1260457.0,ALL
2014-07-24,58.49,25384.1424,1138147.0,ALL
2014-07-25,57.94,25145.4472,1193004.0,ALL
2014-07-28,57.94,25145.4472,2130638.0,ALL
2014-07-29,57.05,24759.1951,3314555.0,ALL
2014-07-30,56.89,24656.1378,3104227.0,ALL
